doc_id,doc_type,doc_number,vendor,buyer,doc_date,currency,line_item_count,subtotal,tax_amount,total_amount,line_items
DOC-001,invoice,INV-2026-001,PT Nusa Pangan,PT Nusantara Dynamics,2026-04-08,IDR,2,240000,26400,266400,"[{""description"": ""Tisu Box"", ""qty"": 4, ""unit_price"": 18000, ""line_total"": 72000}, {""description"": ""Pulpen Box"", ""qty"": 4, ""unit_price"": 42000, ""line_total"": 168000}]"
DOC-002,invoice,INV-2026-002,PT Global Suplai,PT Nusantara Dynamics,2026-05-18,IDR,1,144000,15840,159840,"[{""description"": ""Tisu Box"", ""qty"": 8, ""unit_price"": 18000, ""line_total"": 144000}]"
DOC-003,invoice,INV-2026-003,PT Nusa Pangan,PT Nusantara Dynamics,2026-02-24,IDR,2,600000,66000,666000,"[{""description"": ""Kopi 1kg"", ""qty"": 3, ""unit_price"": 110000, ""line_total"": 330000}, {""description"": ""Map Folder"", ""qty"": 10, ""unit_price"": 27000, ""line_total"": 270000}]"
DOC-004,invoice,INV-2026-004,UD Sinar Terang,PT Nusantara Dynamics,2026-03-22,IDR,4,1633000,179630,1812630,"[{""description"": ""Kertas A4 80gsm"", ""qty"": 7, ""unit_price"": 55000, ""line_total"": 385000}, {""description"": ""Mouse Wireless"", ""qty"": 4, ""unit_price"": 120000, ""line_total"": 480000}, {""description"": ""Hand Sanitizer 500ml"", ""qty"": 6, ""unit_price"": 38000, ""line_total"": 228000}, {""description"": ""Whiteboard Marker"", ""qty"": 9, ""unit_price"": 60000, ""line_total"": 540000}]"
DOC-005,invoice,INV-2026-005,PT Sumber Makmur,PT Nusantara Dynamics,2026-04-02,IDR,2,591000,65010,656010,"[{""description"": ""Kabel HDMI 2m"", ""qty"": 3, ""unit_price"": 65000, ""line_total"": 195000}, {""description"": ""Baterai AA"", ""qty"": 12, ""unit_price"": 33000, ""line_total"": 396000}]"
DOC-006,invoice,INV-2026-006,PT Sumber Makmur,PT Nusantara Dynamics,2026-01-29,IDR,1,336000,36960,372960,"[{""description"": ""Pulpen Box"", ""qty"": 8, ""unit_price"": 42000, ""line_total"": 336000}]"
DOC-007,invoice,INV-2026-007,CV Anugerah Mandiri,PT Nusantara Dynamics,2026-01-02,IDR,4,1288000,141680,1429680,"[{""description"": ""Keyboard"", ""qty"": 4, ""unit_price"": 185000, ""line_total"": 740000}, {""description"": ""Pulpen Box"", ""qty"": 1, ""unit_price"": 42000, ""line_total"": 42000}, {""description"": ""Hand Sanitizer 500ml"", ""qty"": 11, ""unit_price"": 38000, ""line_total"": 418000}, {""description"": ""Air Mineral Galon"", ""qty"": 4, ""unit_price"": 22000, ""line_total"": 88000}]"
DOC-008,invoice,INV-2026-008,CV Berkah Jaya,PT Nusantara Dynamics,2026-05-02,IDR,1,504000,55440,559440,"[{""description"": ""Pulpen Box"", ""qty"": 12, ""unit_price"": 42000, ""line_total"": 504000}]"
DOC-009,invoice,INV-2026-009,PT Cahaya Abadi,PT Nusantara Dynamics,2026-03-17,IDR,2,214000,23540,237540,"[{""description"": ""Pulpen Box"", ""qty"": 3, ""unit_price"": 42000, ""line_total"": 126000}, {""description"": ""Air Mineral Galon"", ""qty"": 4, ""unit_price"": 22000, ""line_total"": 88000}]"
DOC-010,invoice,INV-2026-010,PT Karya Logistik,PT Nusantara Dynamics,2026-01-31,IDR,3,608000,66880,674880,"[{""description"": ""Pulpen Box"", ""qty"": 9, ""unit_price"": 42000, ""line_total"": 378000}, {""description"": ""Map Folder"", ""qty"": 5, ""unit_price"": 27000, ""line_total"": 135000}, {""description"": ""Tinta Printer"", ""qty"": 1, ""unit_price"": 95000, ""line_total"": 95000}]"
